freq,psd_x,psd_y,psd_z,psd_xyz
0.0,4.869e+01,3.699e+01,8.615e+02,9.472e+02
1.5,2.653e+02,9.689e+01,5.773e+02,9.394e+02
2.9,2.798e+02,8.916e+01,1.243e+02,4.933e+02
4.4,2.733e+02,9.803e+01,3.518e+02,7.231e+02
5.9,3.166e+02,1.048e+02,1.190e+03,1.612e+03
7.3,3.039e+02,9.993e+01,2.032e+03,2.435e+03
8.8,2.606e+02,9.426e+01,2.799e+03,3.154e+03
10.3,2.628e+02,9.301e+01,3.365e+03,3.721e+03
11.7,2.455e+02,8.850e+01,4.131e+03,4.466e+03
13.2,2.533e+02,8.965e+01,5.551e+03,5.894e+03
14.7,2.794e+02,9.680e+01,7.311e+03,7.687e+03
16.1,3.162e+02,9.582e+01,9.401e+03,9.813e+03
17.6,3.520e+02,1.148e+02,1.184e+04,1.231e+04
19.1,3.328e+02,1.042e+02,1.455e+04,1.498e+04
20.5,2.921e+02,1.092e+02,1.799e+04,1.839e+04
22.0,2.837e+02,1.199e+02,2.173e+04,2.213e+04
23.5,2.478e+02,1.509e+02,2.578e+04,2.618e+04
24.9,3.007e+02,1.814e+02,3.051e+04,3.099e+04
26.4,3.409e+02,1.607e+02,3.643e+04,3.693e+04
27.9,4.001e+02,1.873e+02,4.375e+04,4.434e+04
29.3,3.604e+02,2.309e+02,5.259e+04,5.318e+04
30.8,3.655e+02,2.637e+02,6.299e+04,6.362e+04
32.2,4.719e+02,2.861e+02,7.527e+04,7.603e+04
33.7,5.644e+02,3.534e+02,9.150e+04,9.241e+04
35.2,6.986e+02,4.392e+02,1.107e+05,1.118e+05
36.6,7.925e+02,5.343e+02,1.335e+05,1.348e+05
38.1,8.825e+02,6.035e+02,1.650e+05,1.665e+05
39.6,1.118e+03,6.713e+02,2.076e+05,2.094e+05
41.0,1.378e+03,6.754e+02,2.635e+05,2.656e+05
42.5,1.656e+03,6.137e+02,3.413e+05,3.435e+05
44.0,2.269e+03,5.572e+02,4.586e+05,4.614e+05
45.4,2.837e+03,5.186e+02,6.268e+05,6.301e+05
46.9,3.398e+03,9.180e+02,8.944e+05,8.988e+05
48.4,6.168e+03,2.711e+03,1.354e+06,1.363e+06
49.8,1.178e+04,7.258e+03,2.183e+06,2.202e+06
51.3,2.092e+04,1.493e+04,3.153e+06,3.189e+06
52.8,3.351e+04,2.338e+04,3.587e+06,3.643e+06
54.2,3.948e+04,2.585e+04,3.308e+06,3.373e+06
55.7,4.315e+04,2.605e+04,2.727e+06,2.797e+06
57.2,4.575e+04,2.737e+04,2.168e+06,2.241e+06
58.6,4.524e+04,2.741e+04,1.696e+06,1.769e+06
60.1,4.119e+04,2.456e+04,1.325e+06,1.391e+06
61.6,3.666e+04,2.098e+04,1.066e+06,1.124e+06
63.0,3.560e+04,1.912e+04,8.764e+05,9.311e+05
64.5,3.525e+04,1.755e+04,7.447e+05,7.975e+05
66.0,2.950e+04,1.279e+04,6.546e+05,6.969e+05
67.4,1.938e+04,7.419e+03,5.713e+05,5.981e+05
68.9,9.637e+03,4.459e+03,4.901e+05,5.042e+05
70.4,4.682e+03,7.018e+03,4.219e+05,4.336e+05
71.8,2.706e+03,1.147e+04,3.707e+05,3.849e+05
73.3,3.708e+03,1.205e+04,3.355e+05,3.512e+05
74.8,5.109e+03,1.061e+04,3.073e+05,3.230e+05
76.2,5.463e+03,9.043e+03,2.815e+05,2.960e+05
77.7,5.480e+03,8.092e+03,2.397e+05,2.533e+05
79.2,4.412e+03,7.557e+03,2.099e+05,2.218e+05
80.6,1.924e+03,7.389e+03,2.037e+05,2.130e+05
82.1,8.794e+02,7.570e+03,1.977e+05,2.062e+05
83.6,1.296e+03,7.798e+03,1.762e+05,1.853e+05
85.0,2.031e+03,1.039e+04,1.533e+05,1.658e+05
86.5,2.916e+03,1.665e+04,1.448e+05,1.643e+05
88.0,4.054e+03,2.695e+04,1.396e+05,1.706e+05
89.4,5.481e+03,4.107e+04,1.265e+05,1.730e+05
90.9,7.642e+03,5.537e+04,1.238e+05,1.868e+05
92.4,9.554e+03,6.484e+04,1.263e+05,2.007e+05
93.8,9.079e+03,6.586e+04,1.241e+05,1.991e+05
95.3,7.158e+03,5.913e+04,1.203e+05,1.866e+05
96.7,6.106e+03,5.187e+04,1.176e+05,1.756e+05
98.2,5.367e+03,4.487e+04,1.125e+05,1.628e+05
99.7,5.122e+03,4.070e+04,1.117e+05,1.575e+05
101.1,5.179e+03,3.835e+04,1.143e+05,1.578e+05
102.6,5.246e+03,3.577e+04,1.155e+05,1.566e+05
104.1,5.191e+03,3.280e+04,1.142e+05,1.522e+05
105.5,5.189e+03,2.993e+04,1.110e+05,1.462e+05
107.0,5.180e+03,2.705e+04,1.062e+05,1.384e+05
108.5,5.156e+03,2.438e+04,1.002e+05,1.297e+05
109.9,5.133e+03,2.253e+04,9.486e+04,1.225e+05
111.4,5.039e+03,2.135e+04,8.800e+04,1.144e+05
112.9,4.915e+03,2.185e+04,8.113e+04,1.079e+05
114.3,5.780e+03,2.532e+04,8.176e+04,1.129e+05
115.8,7.254e+03,2.946e+04,8.674e+04,1.234e+05
117.3,9.217e+03,3.420e+04,9.065e+04,1.341e+05
118.7,1.125e+04,4.067e+04,9.581e+04,1.477e+05
120.2,1.263e+04,5.032e+04,1.039e+05,1.669e+05
121.7,1.317e+04,6.297e+04,1.166e+05,1.927e+05
123.1,1.310e+04,7.931e+04,1.325e+05,2.249e+05
124.6,1.169e+04,9.642e+04,1.492e+05,2.573e+05
126.1,1.021e+04,1.113e+05,1.659e+05,2.874e+05
127.5,9.715e+03,1.184e+05,1.749e+05,3.030e+05
129.0,9.440e+03,1.302e+05,1.884e+05,3.281e+05
130.5,9.498e+03,1.376e+05,1.979e+05,3.450e+05
131.9,9.450e+03,1.173e+05,1.736e+05,3.003e+05
133.4,4.882e+03,4.524e+04,6.780e+04,1.179e+05
134.9,1.763e+03,5.639e+03,8.059e+03,1.546e+04
136.3,1.894e+03,4.345e+03,6.513e+03,1.275e+04
137.8,1.799e+03,4.385e+03,6.934e+03,1.312e+04
139.3,1.793e+03,4.357e+03,7.305e+03,1.346e+04
140.7,2.024e+03,4.339e+03,7.834e+03,1.420e+04
142.2,2.355e+03,4.359e+03,8.352e+03,1.507e+04
143.7,2.770e+03,4.977e+03,9.701e+03,1.745e+04
145.1,3.472e+03,6.068e+03,1.182e+04,2.136e+04
146.6,4.085e+03,7.047e+03,1.363e+04,2.476e+04
148.1,4.716e+03,8.239e+03,1.568e+04,2.863e+04
149.5,5.394e+03,9.504e+03,1.824e+04,3.314e+04
