freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.130e+02,5.068e+02,1.867e+01,6.384e+02
1.5,2.356e+02,3.267e+02,7.060e+01,6.328e+02
2.9,2.099e+02,5.670e+01,8.362e+01,3.502e+02
4.4,1.782e+02,2.801e+02,8.168e+01,5.400e+02
5.9,1.873e+02,1.187e+03,8.358e+01,1.458e+03
7.3,1.844e+02,2.315e+03,8.566e+01,2.585e+03
8.8,1.815e+02,2.835e+03,8.371e+01,3.100e+03
10.3,1.932e+02,2.944e+03,8.493e+01,3.222e+03
11.7,1.964e+02,4.519e+03,8.507e+01,4.801e+03
13.2,1.998e+02,6.864e+03,8.468e+01,7.148e+03
14.7,2.190e+02,9.408e+03,8.756e+01,9.715e+03
16.1,2.451e+02,1.229e+04,8.962e+01,1.263e+04
17.6,2.916e+02,1.533e+04,9.196e+01,1.571e+04
19.1,3.023e+02,1.797e+04,8.719e+01,1.836e+04
20.5,2.488e+02,2.054e+04,7.979e+01,2.087e+04
22.0,3.445e+02,2.792e+04,9.249e+01,2.835e+04
23.5,4.684e+02,3.749e+04,1.052e+02,3.806e+04
24.9,6.505e+02,4.931e+04,1.081e+02,5.007e+04
26.4,9.234e+02,6.689e+04,1.173e+02,6.793e+04
27.9,1.276e+03,8.907e+04,1.339e+02,9.048e+04
29.3,1.785e+03,1.210e+05,1.216e+02,1.229e+05
30.8,3.075e+03,1.750e+05,1.229e+02,1.782e+05
32.3,5.247e+03,2.609e+05,1.348e+02,2.663e+05
33.7,8.708e+03,3.968e+05,1.608e+02,4.056e+05
35.2,1.388e+04,6.042e+05,4.335e+02,6.186e+05
36.7,2.101e+04,8.401e+05,2.115e+03,8.632e+05
38.1,2.652e+04,9.580e+05,6.166e+03,9.907e+05
39.6,3.020e+04,9.265e+05,8.561e+03,9.653e+05
41.1,3.158e+04,7.958e+05,5.460e+03,8.328e+05
42.5,3.229e+04,6.385e+05,2.175e+03,6.730e+05
44.0,3.259e+04,5.185e+05,1.560e+03,5.527e+05
45.5,3.339e+04,4.440e+05,1.338e+03,4.787e+05
46.9,3.581e+04,4.137e+05,1.601e+03,4.511e+05
48.4,3.939e+04,4.033e+05,2.210e+03,4.449e+05
49.9,4.589e+04,4.080e+05,2.717e+03,4.567e+05
51.3,5.482e+04,4.133e+05,3.328e+03,4.714e+05
52.8,6.469e+04,4.048e+05,3.791e+03,4.732e+05
54.3,7.147e+04,3.698e+05,4.216e+03,4.455e+05
55.7,7.833e+04,3.275e+05,4.687e+03,4.105e+05
57.2,8.609e+04,2.853e+05,5.630e+03,3.770e+05
58.7,9.649e+04,2.510e+05,6.797e+03,3.543e+05
60.1,1.089e+05,2.183e+05,7.811e+03,3.350e+05
61.6,1.226e+05,1.821e+05,8.515e+03,3.132e+05
63.1,1.429e+05,1.473e+05,9.019e+03,2.992e+05
64.5,1.819e+05,1.166e+05,7.832e+03,3.063e+05
66.0,2.786e+05,8.995e+04,5.847e+03,3.744e+05
67.5,4.407e+05,6.530e+04,4.047e+03,5.100e+05
68.9,4.477e+05,5.188e+04,3.433e+03,5.030e+05
70.4,2.908e+05,6.109e+04,6.068e+03,3.579e+05
71.9,1.533e+05,7.521e+04,7.992e+03,2.365e+05
73.3,8.335e+04,8.441e+04,6.586e+03,1.743e+05
74.8,5.919e+04,8.426e+04,4.155e+03,1.476e+05
76.3,6.708e+04,7.875e+04,2.496e+03,1.483e+05
77.7,8.920e+04,6.421e+04,1.602e+03,1.550e+05
79.2,1.096e+05,5.130e+04,1.252e+03,1.622e+05
80.7,1.134e+05,4.679e+04,9.038e+02,1.611e+05
82.1,9.887e+04,4.917e+04,8.941e+02,1.489e+05
83.6,8.502e+04,6.015e+04,1.315e+03,1.465e+05
85.1,6.371e+04,7.271e+04,9.774e+02,1.374e+05
86.5,4.416e+04,8.810e+04,7.895e+02,1.330e+05
88.0,2.737e+04,9.314e+04,1.254e+03,1.218e+05
89.5,1.849e+04,1.017e+05,1.824e+03,1.220e+05
90.9,1.351e+04,1.125e+05,2.864e+03,1.289e+05
92.4,1.006e+04,1.222e+05,3.404e+03,1.357e+05
93.9,7.453e+03,1.107e+05,3.698e+03,1.219e+05
95.3,6.347e+03,7.726e+04,4.194e+03,8.780e+04
96.8,6.714e+03,4.507e+04,5.223e+03,5.701e+04
98.3,6.916e+03,2.547e+04,6.436e+03,3.882e+04
